sample_name,Target,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank
EDFIG10_HEK293T_HBB_4AT_PE3,43.5103238,0,0.0544266,0.45286,0.486153,0.474038,0.374986,0,0.0224091,0.0330876,0.0371544,54.658,72,0,0,0.5,14,0.615384615,13,1,0,0,4,10
EDFIG10_HEK293T_HEK3_1CTTINS_PE3,52.44926293,0.247531,0.267672,0.111921,0.0824388,0.101166,0.113167,0.11733,0.116516,0.344256,0.433382,63.265,90,1,0,0.5,10,0.615384615,13,0,0,3,1,6
EDFIG10_HEK293T_HEK3_1TG_PE3,53.24303273,0.794773,0.284468,0.277751,0.291675,0.312424,0.329015,0.0184348,0.0228877,0.0105403,0,63.265,90,0,0,0.6,10,0.615384615,13,1,0,0,1,9
EDFIG10_HEK293T_HEK3_3AC_PE3,54.54096037,0.794663,0.277289,0.270538,0.280266,0.300207,0.31621,0.0134202,0.0149849,0.0159211,0.187616,63.265,90,0,0,0.6,10,0.615384615,13,1,0,0,3,7
EDFIG10_HEK293T_HEK3_3AT_5GT_6GT_PE3,58.15175967,0.815335,0.0912931,0.0969087,0.0916619,0.0846084,0.0907371,0.0877728,0.118702,0.1507,0.166574,63.265,90,1,0,0.5,34,0.615384615,13,3,0,0,3,28
EDFIG10_HEK293T_HEK3_3AT_PE3,47.3140548,0.792643,0.281373,0.274493,0.199143,0.213312,0.224669,0.0616616,0.0709189,0.0750466,0.240689,63.265,90,0,0,0.5,10,0.615384615,13,1,0,0,3,7
EDFIG10_HEK293T_PRNP_6GT_PE3,54.56097483,0.0480402,0.182728,0.235516,0.0312821,0.0240813,0.403503,0.457102,0.495746,0.510132,0.302574,46.11,72,1,0,0.5,12,0.833333333,12,1,0,0,6,6
EDFIG10_HEK293T_RNF2_1CA_PE3,32.95111797,0.257855,0.413246,0.498761,0.345037,0,0.337716,0.368911,0.0609921,0.431227,0.482303,52.23,41,0,0,0.428571429,14,0.333333333,15,1,0,0,1,13
EDFIG10_HEK293T_RNF2_1CG_PE3,44.3991034,0.254212,0.390318,0.471,0.340184,0,0.332571,0.363278,0.0593415,0.418499,0.46801,52.23,41,0,0,0.5,14,0.333333333,15,1,0,0,1,13
EDFIG10_HEK293T_RNF2_1GTAINS_PE3,51.98244223,0.228994,0.430073,0.517421,0.303128,0,0.290634,0.328395,0.0578964,0.407654,0.455883,52.23,41,1,0,0.470588235,17,0.333333333,15,0,0,3,1,13
EDFIG5A_VEGFA_10NT,17.37086493,0.266022,0.278374,0.262144,0.0495295,0.275272,0.291363,0.309661,0.277589,0.0209422,0.0152966,66.789,,1,0,0.6,10,0.615384615,13,1,0,0,5,5
